1;293 Komba Guesthouse;85
2;Acacias Bungalows;64
3;Allamanda;45
4;Ambaro Beach Resort;82
5;Ambola Beach;21
6;Anakao Ocean Lodge;24
7;Analamazaotra;26
8;Analatsara;51
9;Andasibe Hotel;26
10;Andilana Beach resort;82
11;Anjajavy Lodge;29
12;Ankarana Lodge;33
13;Arc en Ciel/Miandrivazo;71
14;Arc en Ciel/Nosy Be;82
15;Arol Ecolodge;70
16;Atafana;96
17;Atlantis;24
18;Au Bois Vert;53
19;Au Bon Ancrage/Chez Wenky;68
20;Au Sable Blanc;82
21;Auberge de la table;104
22;Aux Bougainvillées;17
23;Badamera Park;91
24;Baie d'Iharana Lodge;106
25;Bakuba Concept;104
26;Bamboo Club;49
27;Baobab;73
28;Baobab Café;74
29;Baobab/Miandrivazo;71
30;Belle Rose;46
31;Bellevue/Ifaty;49
32;Belvédère;101
33;Betsileo Country Lodge;17
34;Bivouacs divers;61
35;Black Lemur Camp;28
36;Blue Vanga Lodge;32
37;Boucaniers ;82
38;Bougainvilliers;74
39;Bush House;90
40;Caliente Beach;104
41;Camp Amoureux;54
42;Camp Catta;102
43;Camp Corail;80
44;Camp Pirate;57
45;Campement Ankarafa;31
46;Casadoro;105
47;Centrest;93
48;Chalet des Roses;101
49;Chambres du Voyageur;38
50;Chez Aina;101
51;Chez Alain;104
52;Chez Evelyne;56
53;Chez Gaspard;93
54;Chez Gigi;56
55;Chez Gondrin;36
56;Chez Julienne et Patrick ;47
57;Chez Katia;73
58;Chez Laurent;33
59;Chez Maggie;74
60;Chez Nany;52
61;Chez Richard (Delphino);87
62;Chez Roger;65
63;Chouchou;58
64;Christina;94
65;Coco Komba;85
66;Constance Tsarabanjina Lodge;88
67;Corail Noir;82
68;Cotsoyannis;47
69;Couleur Café;38
70;Dauphin Vezo;41
71;Domaine d'Ambola;21
72;Domaine de Fontenay;72
73;Ecolodge du Menabe;41
74;Entremer;41
75;Eulophiella;26
76;Famata Lodge;104
77;Felana Ecovillage/Homestay;76
78;Feon 'ny Ala;26
79;Firdoss;45
80;Five Senses Lodge;103
81;Floraly;85
82;Flower Palace;38
83;Forest Lodge;90
84;General Information Masoala;70
85;Gerard et Francine;82
86;Gîte d'Ampijoroa;32
87;Gîte de Berenty;43
88;Goyave Hotel;26
89;Grace Lodge;26
90;Grand Hotel du Tsingy;40
91;Green Park;38
92;H1 Hotel/Antsirabe;38
93;Hotel Cristo;79
94;Hotel de la Plage;49
95;Hotel des Thermes;38
96;Hotel H1/Isalo;92
97;Hotel H1/Manakara;63
98;Hotel H1/Tamatave;100
99;Hotel Hippocampe;69
100;Hotel Joffre;45
101;Hotel Kenji;105
102;Hotel Noor;18
103;Hotel Solidaire Mangily;49
104;Hotel Thermal;93
105;Hotel Vanivola;96
106;Ifaty Beach Club ;49
107;Iharana Bush Camp;33
108;Ihary;93
109;Ikopa Hotel;101
110;Ilo Village;82
